"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[hide]] new secretions from the parental [[units]] ","[[leather]] new secretions from the parental [[unity]] ",0.0020572543144226074,0.830001711845398,0,1,0,26,"Successful"
"contains no [[wit]] , only labored [[gags]] ","contains no [[waite]] , only labored [[laughs]] ",0.00024622678756713867,0.9624959230422974,0,1,0,39,"Successful"
"that [[loves]] its characters and [[communicates]] something rather [[beautiful]] about human nature ","that [[iike]] its characters and [[behaves]] something rather [[hermosa]] about human nature ",0.00011992454528808594,0.972283661365509,1,0,1,122,"Successful"
"[[remains]] utterly satisfied to remain the same throughout ","[[keep]] utterly satisfied to remain the same throughout ",0.020074963569641113,0.9932510256767273,0,1,0,49,"Successful"
"on the [[worst]] revenge-of-the-nerds clichés the filmmakers could dredge up ","on the [[finest]] revenge-of-the-nerds clichés the filmmakers could dredge up ",0.00018936395645141602,0.6655412912368774,0,1,0,45,"Successful"
"that 's far too [[tragic]] to [[merit]] such [[superficial]] [[treatment]] ","that 's far too [[poignant]] to [[bottom]] such [[facie]] [[heals]] ",0.00018996000289916992,0.9650369882583618,0,1,0,129,"Successful"
"demonstrates that the director of such hollywood blockbusters as patriot games can [[still]] turn out a small , [[personal]] [[film]] with an [[emotional]] wallop . ","demonstrates that the director of such hollywood blockbusters as patriot games can [[too]] turn out a small , [[interpersonal]] [[filming]] with an [[psychological]] wallop . ",0.0005206465721130371,0.9440212845802307,1,0,1,76,"Successful"
"of [[saucy]] ","of [[slutty]] ",0.0003597736358642578,0.999748706817627,1,0,1,41,"Successful"
"a [[depressed]] fifteen-year-old 's [[suicidal]] [[poetry]] ","a [[crestfallen]] fifteen-year-old 's [[kamikaze]] [[poetic]] ",0.0002678036689758301,0.9867932200431824,0,1,0,46,"Successful"
"are more deeply [[thought]] through than in most ` right-thinking ' films ","are more deeply [[crus]] through than in most ` right-thinking ' films ",0.0007889270782470703,0.9969047904014587,1,0,1,54,"Successful"
